No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
10,"North America",CA,Canada,"Peameal bacon","Peameal bacon (also known as cornmeal bacon) is a wet-cured, unsmoked back bacon made from trimmed lean boneless pork loin rolled in cornmeal and is found mainly in Southern Ontario. Toronto pork packer William Davies, who came to Canada from England in 1854, is credited with its development. The name "peameal bacon" derives from the historic practice of rolling the cured and trimmed boneless loin in dried and ground yellow peas to extend shelf life. Since the end of World War I, it has been rolled in ground yellow cornmeal. Peameal bacon sandwiches, consisting of cooked peameal bacon on a kaiser roll and sometimes topped with mustard or other toppings, are often considered a signature dish of Toronto, particularly from Toronto's St. Lawrence Market.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flickr_bokchoi-snowpea_4266923676--Roast_peameal_bacon.jpg/263px-Flickr_bokchoi-snowpea_4266923676--Roast_peameal_bacon.jpg,,"SE: {}, // Sweden"
11,"North America",MX,Mexico,Taco,"Taco is a traditional Mexican dish consisting of a small hand-sized corn or wheat tortilla topped with a filling. The tortilla is then folded around the filling and eaten by hand. A taco can be made with a variety of fillings, including beef, pork, chicken, seafood, vegetables, and cheese, allowing great versatility and variety.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/001_Tacos_de_carnitas%2C_carne_asada_y_al_pastor.jpg/220px-001_Tacos_de_carnitas%2C_carne_asada_y_al_pastor.jpg,,"NO: {}, //Norway"
12,"North America",MX,Mexico,Enchiladas,"An enchilada is a corn tortilla rolled around a filling and covered with a savory sauce. Enchiladas can be filled with a variety of ingredients, including various meats, cheese, beans, potatoes, vegetables or combinations",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Enchilada_Rice_Beans.jpg/250px-Enchilada_Rice_Beans.jpg,,"IE: {}, // Ireland"
13,"North America",MX,Mexico,Burrito,"A burrito is a dish in Mexican and Tex-Mex cuisine consisting of a flour tortilla wrapped into a sealed cylindrical shape around various ingredients. The tortilla is sometimes lightly grilled or steamed to soften it, make it more pliable, and allow it to adhere to itself when wrapped. Burritos are often eaten by hand, as their tight wrapping keeps the ingredients together.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Hippie_Kitchen%2C_Jefferson_Highway%2C_Old_Jefferson_Louisiana_Burrito_Unwrapped.jpg/250px-Hippie_Kitchen%2C_Jefferson_Highway%2C_Old_Jefferson_Louisiana_Burrito_Unwrapped.jpg,,"FR: {}, //France"
14,"North America",MX,Mexico,pozole,"Pozole, which means "hominy", is a traditional soup or stew from Mexican cuisine. It is made from hominy, with meat (typically pork), and can be seasoned and garnished with shredded lettuce or cabbage, chile peppers, onion, garlic, radishes, avocado, salsa or limes.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/WhitePozoleDF.JPG/250px-WhitePozoleDF.JPG,,"NL: {},//Netherlands"
15,"North America",MX,Mexico,elote,"In Central America (except Panama) and Mexico, an ear of corn, on or off the plant, is called elote (from the Nahuatl elotitutl, meaning tender cob). This term is also used in Mexican and Central American communities in the United States.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Elote_recipe.jpg/220px-Elote_recipe.jpg,,"BE: {}, //Belgium"
16,"Eastern Europe",HU,Hungary,Halaszle,"Fisherman's soup is a hot, spicy paprika-based river fish soup, originating as a dish of Hungarian cuisine, a bright-red hot soup prepared with generous amounts of hot paprika and carp or mixed river fish, characteristic for the cuisines of the Pannonian Plain, particularly prepared in the Danube and Tisza river regions. With its generous use of hot paprika, halászlé is arguably one of the hottest (spicy hot) dishes native to the European continent.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Hungarian_soup_03976.jpg/330px-Hungarian_soup_03976.jpg,,"AU: {}, //Austria"
17,"Eastern Europe",HU,Hungary,"Chicken paprikash","Chicken paprikash or paprika chicken is a popular dish of Hungarian origin and one of the most famous variations on the paprikas preparations common to Hungarian tables. The name is derived from the ample use of paprika, a spice commonly used in Hungarian cuisine. The meat is typically simmered for an extended period in a sauce that begins with a paprika-infused roux.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Paprikahuhn.jpg/375px-Paprikahuhn.jpg,,"DE: {}, //Germany"
18,"Eastern Europe",HU,Hungary,"Somloi galuska","It is one of the best known products of Hungarian confectionery. Made from sponge cake with chocolate sauce and whipped cream. In the late 1950s Karoly Gollerits introduced the Somlo dumplings as an innovation to the legendary main cellar of the Gundel restaurant. Gollerits was the chief executive of the Gundel restaurant for 16 years, but the realization was the merit of confectioner Jozsef Bela Szocs, who after his school years at Gerbeaud Confectionery, joined Gundel. With the new dessert, the 1958 World Exhibition in Brussels was a great success and won a professional award. He also named the cake from the 288-meter-high hill called Somlyo in Fot, the westernmost stretch of the Godollo hills, at the foot of which he lived for decades in the nearby Kisalag, where he later operated his own confectionery. Somlói was named because somebody in Brussels accidentally left the ipszilon out of the name of the award-winning Somlyo-dumplings dessert, so he finally got into the gastronomy with the name Somlo-dumplings.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Somloi-galuska.JPG/480px-Somloi-galuska.JPG,,"ES: {}, //Spain"
19,"Eastern Europe",HU,Hungary,"Toltott Kaposzta","A toltott kaposzta or the name of the Great Plain, or one of the typical winter dishes of Hungarian cuisine in Transylvania. It can also be found in Romanian cuisine as sarmale (from the Turkish sarmak, 'wrap', 'wrap') or as a diminutive, known as sarmalue, but in Transylvanian Saxons, it was the main course of old guild holidays and neighborhood days. In some parts of Hungary (mainly in Southeast Hungary) its name is derived from. The Serbs call it sarma. Arabs also consider cabbage stuffed with primrose (garnished ram) as part of their national cuisine. Known in Sweden as Kaldolme. It is also called the Great Plain. In Moldavia, Bukovina, stuffed cabbage is called geluska, dumplings, the word in this report is Romanian borrowing. Various versions of stuffed cabbage are known in Turkish, Russian and some Asian cuisine.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/T%C3%B6lt%C3%B6tt_k%C3%A1poszta%2C_2.jpg/375px-T%C3%B6lt%C3%B6tt_k%C3%A1poszta%2C_2.jpg,,"MA: {}, //Morocco"
20,"Eastern Europe",CZ,"Czech Republic",Trdenik,"Trdelnik is a sweet pastry in the shape of a large hollow cannoli , but without cream filling.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trdeln%C3%ADk-Basket-20101.JPG/250px-Trdeln%C3%ADk-Basket-20101.JPG,,"IT: {}, //Italy"
21,"Eastern Europe",CZ,"Czech Republic",Svickova,"Svickova in cream, sirloin slices (German Lendenbraten , in Austria Lungenbraten , English Beef tenderloin ) also means well-known food of Czech and Austrian cuisine. Beef sirloin is often referred to as the best part of beef, used for steaks, tartar steaks, sometimes stewed whole, on a dark sauce, often with cream.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Beef_Tenderloin150.jpg/220px-Beef_Tenderloin150.jpg,,"GR: {}, //Greece"
22,"Eastern Europe",CZ,"Czech Republic","houskovy knedlik","Houskovy knedlik is a type of dumplings that have become one of the typical dishes of Czech national cuisine.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Hov%C4%9Bz%C3%AD_maso%2C_k%C5%99enov%C3%A1_om%C3%A1%C4%8Dka%2C_houskov%C3%BD_knedl%C3%ADk.jpg/250px-Hov%C4%9Bz%C3%AD_maso%2C_k%C5%99enov%C3%A1_om%C3%A1%C4%8Dka%2C_houskov%C3%BD_knedl%C3%ADk.jpg,,"PT: {}, //Portugal"
23,"Eastern Europe",CZ,"Czech Republic","smazeny syr","smazeny syr is  a Czech and Slovak food , which is prepared by frying wrapped cheese type cheese or Swiss cheese . Breaded camembert or fried cheese is also fried .",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Smazeny_syr_smazeni_prvni_strana.jpg/250px-Smazeny_syr_smazeni_prvni_strana.jpg,,"PE: {}, //Peru"
24,"Eastern Europe",CZ,"Czech Republic",Bublanina,"Bublanina is a sweet type of bread . These are mashed bun , which are located in the cherries , cherry , peach or other kind of fruit . It is prepared by pouring the dough into the baking pan , whereupon the fruit is placed there and placed in the oven for baking .",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Bublanina_5553-1.jpg/250px-Bublanina_5553-1.jpg,,"BR: {}, //Brazil"
25,"Eastern Europe",RU,Russia,"Olivier salad","Olivier salad is a traditional salad dish in Russian cuisine, which is also popular in other post-Soviet countries, many European countries, Iran, Israel, Mongolia and also throughout Latin America. In different modern recipes, it is usually made with diced boiled potatoes, carrots, brined dill pickles (or cucumber), green peas, eggs, celeriac, onions, diced boiled chicken (or sometimes ham, hot dogs or bologna sausage), and tart apples, with salt, pepper, and mustard added to enhance flavor, dressed with mayonnaise. In many countries, the dish is commonly referred to as Russian salad. A variation called Stolichny salad  exists, and is also popular in the Russian cuisine. In Russia and other post-Soviet states, as well as in Russophone communities world-wide, the salad has become one of the main dishes on zakuski tables served during New Year's Eve (Novy God) celebrations.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Russischer_Oliviersalat.JPG/375px-Russischer_Oliviersalat.JPG,,"VE: {}, //Venezuela"
26,"Eastern Europe",RU,Russia,"Mimosa salad","Mimosa salad is a festive salad, whose main ingredients are cheese, eggs, canned fish, onion, and mayonnaise. Mimosa salad got its name because of its reminiscence of mimosa, spring flowers, scattered on the snow. The similarity is achieved by crumbling and scattering boiled egg yolk on the surface. The salad's popularity in the USSR (and nowadays in the post-Soviet states) has led to the emergence of a wide variety of recipes",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Mimoza_salat_e-citizen.jpg/375px-Mimoza_salat_e-citizen.jpg,,"CL: {}, //Chile"
27,"Eastern Europe",RU,Russia,Pelmeni,"Pelmeni are dumplings of Russian cuisine that consist of a filling wrapped in thin, unleavened dough. The debate about the exact place of origin is still active, with Ural and Siberia both maintaining strong claims. Pelmeni have been described as "the heart of Russian cuisine.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Pelmeni_Russian.jpg/375px-Pelmeni_Russian.jpg,,"AR: {}, //Argentina"
28,"Eastern Europe",RU,Russia,Smetana,"Smetana is a type of sour cream originating from Central and Eastern Europe. to be. In Hungary, it is called Tejföl. Sour cream is also commonly referred to as Smetana. Eat in many dishes according to your taste, such as Borsi, Poetry, Felmeni, Blini Bareniki . The characteristic is that aerobic bacteria and anaerobic bacteria coexist and ferment.Smetana is fermented even at a relatively low temperature, so it can be made without raising the temperature, like ordinary lactic acid bacteria yogurt. In addition, since it maintains a low temperature, it is difficult for the bacteria to reproduce. On the other hand, since the gas generated due to fermentation in the distribution process may cause the sealed container to explode, those with air holes are used. In terms of nutritional value, there is no particular difference from other yogurts.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Lovely_borshch.jpg/375px-Lovely_borshch.jpg,,"KR: {}, //Korea(South, North)"
29,"Eastern Europe",RU,Russia,Borscht,"Borscht is a sour soup common in Eastern Europe and Northern Asia. In English, the word "borscht" is most often associated with the soup's variant of Ukrainian origin, one of the most famous dishes of Ukrainian cuisine, made with beetroots as one of the main ingredients, which give the dish its distinctive red color. The same name, however, is also used for a wide selection of sour-tasting soups without beetroots, such as sorrel-based green borscht, rye-based white borscht and cabbage borscht. Borscht derives from an ancient soup originally cooked from pickled stems, leaves and umbels of common hogweed (Heracleum sphondylium), a herbaceous plant growing in damp meadows, which lent the dish its Slavic name. With time, it evolved into a diverse array of tart soups, among which the beet-based red borscht has become the most popular. It is typically made by combining meat or bone stock with sautéed vegetables, which as well as beetroots usually include cabbage, carrots, onions, potatoes and tomatoes. Depending on the recipe, borscht may include meat or fish, or be purely vegetarian; it may be served either hot or cold; and it may range from a hearty one-pot meal to a clear broth or a smooth drink. It is often served with smetana or sour cream, hard-boiled eggs or potatoes, but there exists an ample choice of more involved garnishes and side dishes, such as uszka or pampushky, that can be served with the soup. Its popularity has spread throughout Eastern Europe and the former Russian Empire, and by way of migration to other continents. In North America, borscht is often linked with either Jews or Mennonites, the groups who first brought it there from Europe. Several ethnic groups claim borscht, in its various local guises, as their own national dish consumed as part of ritual meals within Eastern Orthodox, Greek Catholic, Roman Catholic, and Jewish religious traditions.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Borscht_served.jpg/450px-Borscht_served.jpg,,"CN: {}, //China"
30,"Eastern Europe",RO,Romania,"Tripe Soup (Ciorba de burta)","Tripe Soup is a chorba (soup) made with tripe (cow stomach). It is widely (not universally) considered to be a hangover remedy.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Ciorba_de_burta_2.jpg/220px-Ciorba_de_burta_2.jpg,,"JP: {}, //Japan"
31,"Eastern Europe",RO,Romania,Mititei(Mici),"Mititei or Mici (both Romanian words meaning "little ones" / "small ones") is a dish from Romanian cuisine, consisting of grilled ground meat rolls in cylindrical shape made from a mixture of beef, lamb and pork with spices, such as garlic, black pepper, thyme, coriander, anise, savory, and sometimes a touch of paprika",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Mititei_aufm_Grill.jpg/260px-Mititei_aufm_Grill.jpg,,"TR: {}, //Turkey"
32,"Eastern Europe",RO,Romania,Polenta(Mamaliga),"Mamaliga  is a porridge made out of yellow maize flour, traditional in Romania, Moldova, Chechnya, Ossetia, Georgia and in Eastern Galicia.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Mamaliga.jpg/220px-Mamaliga.jpg,,"SA: {}, //Saudi Arabia"
33,"Eastern Europe",RO,Romania,Frigarui,"Frigarui is a Romanian dish consisting of small pieces of meat (usually pork, beef, mutton, lamb or chicken) grilled on a skewer, similar to shashlik or shish kebab.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Frig%C4%83rui.jpg/220px-Frig%C4%83rui.jpg,,"LB: {}, //Lebanon"
34,"Eastern Europe",BG,Bulgaria,"Shopska salad","Shopska salad, also known as Bulgarian salad is a Bulgarian cold salad popular throughout the Balkans and Central Europe.This is Bulgaria's most famous dish and national salad.The ingredients used were chosen in part because they resemble the three colors of the Bulgarian flag, and thus would evoke a national sentiment. It is made from tomatoes, cucumbers, onion/scallions, raw or roasted peppers, sirene (white brine cheese), and parsley. The vegetables are usually diced and salted, followed by a light dressing of sunflower oil (or olive oil, which is less authentic), which are occasionally complemented by vinegar. The addition of vinegar contributes, however, to the sour flavour that the tomatoes impart. In restaurants, the dressings are provided separately. Lastly, the vegetables are covered in a thick layer of grated or diced sirene cheese. This salad is often consumed as an appetiser with rakia.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Chopska.jpg/375px-Chopska.jpg,,"IR: {}, //Iran"
35,"Eastern Europe",BG,Bulgaria,"Garash cake(Garash)","Garash is a type of chocolate cake in Bulgarian cuisine. It is commonly found in Bulgarian patisseries and restaurants. Five 2 mm-thin round cake plates are made from a batter consisting of 200 g ground walnut kernels, 8 egg whites and 220 g crystal or powdered sugar. After baking and cooling, they are arranged one on top of the other and frosted in between, on top, and on the sides with a frosting (Ganache) made of sweet cream and chocolate. Afterwards, the cake is covered with chocolate icing.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Garash.jpg/375px-Garash.jpg,,"JO:{},//Jordan"
36,"Eastern Europe",BG,Bulgaria,"Banitsa( banica)","Banitsa, also transliterated as banica and banitza is börek prepared by layering a mixture of whisked eggs, natural yogurt and pieces of feta cheese between filo pastry and then baking it in an oven. Traditionally, lucky charms are put into the pastry on certain occasions, particularly on New Year's Eve. These charms may be coins or small symbolic objects (e.g., a small piece of a dogwood branch with a bud, symbolizing health or longevity). More recently, people have started writing happy wishes on small pieces of paper and wrapping them in tin foil. Wishes may include happiness, health, or success throughout the new year (similar to fortune cookies). Banitsa is served for breakfast with plain yogurt, ayran, or boza. It can be eaten hot or cold. Some varieties include banitsa with spinach (spanachnik) or the sweet version, banitsa with milk(mlechna banitsa) or pumpkin(tikvenik).",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Banitsa_borzo.jpg/330px-Banitsa_borzo.jpg,,"IQ:{},//Iraq"
37,"Eastern Europe",BG,Bulgaria,Tzatziki(Tapatop),"Tzatziki, cacık or tarator is a dip, soup, or sauce found in the cuisines of Southeast Europe and the Middle East. It is made of salted strained yogurt or diluted yogurt mixed with cucumbers, garlic, salt, olive oil, sometimes with vinegar or lemon juice, and herbs such as dill, mint, parsley and thyme. It is generally served as a cold appetizer (meze) or a side dish.
Tarator was the name of a dish made of ground walnuts and vinegar in the medieval Ottoman Empire. Dishes of various preparations in the region, including dips, salads, and sauces, acquired the name. In the Levant, taratur is a sauce based on tahini, while in Turkey and the Balkans it came to mean a combination of yogurt and cucumbers, sometimes with walnuts. It has become a traditional part of meze.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Cacik-1.jpg/375px-Cacik-1.jpg,,"AZ:{},//Azerbaijan"
38,"Eastern Europe",BG,Bulgaria,Lukanka,"Lukanka is a Bulgarian (sometimes spicy) salami unique to Bulgarian cuisine. It is similar to sujuk, but often stronger flavored. Lukanka is semi-dried, has a flattened cylindrical shape, and brownish-red interior in a skin that is normally covered with a white fungus. The mix of small pieces of meat and fat give the interior a grainy structure.
Traditionally, lukanka salami is made of pork, veal, and spices (black pepper, cumin, salt), minced together and stuffed into a length of dried cow's intestine as a casing. After stuffing, the cylindrical salami is hung to dry for about 40 to 50 days in a well-ventilated location. In the process of drying, the salami is pressed to acquire its typical flat form. Lukanka is usually finely sliced and served cold as an appetizer or starter.
The taste qualities of lukanka depend on natural characteristics of the region it is produced in, and are formed under the influence of the typical microflora of the local geographic environment. There are several regions in Bulgaria well known for lukanka production. Most of these are located in central Bulgaria, at the foot of the Balkan mountain range, notably the Smyadovo, Panagyurishte, and Karlovo regions. "Karlovska lukanka" is a name protected on a local level by the Patent office of the Republic of Bulgaria for lukanka from the Karlovo region. The "Lukanka panagyurska" of Panagyurishte has obtained an EU-wide Traditional specialities guaranteed (TGI) denomination.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lukanka.jpg/330px-Lukanka.jpg,,"UZ:{},//Uzbekistan"
39,"Northern Europe",DK,Denmark,"Gravad laks","Gravlax or grav(ad)laks is a Nordic dish consisting of salmon that is cured using salt, sugar, and dill.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Laxr%C3%A4tter.jpg/250px-Laxr%C3%A4tter.jpg,,"PK:{},//Pakistan"
40,"Northern Europe",DK,Denmark,Smorrebrod,"Smorrebrod is a traditional Scandinavian open-faced sandwich that usually consists of a piece of buttered rye bread, a dense, dark brown bread, topped with commercial or homemade cold cuts, pieces of meat or fish, cheese or spreads, and garnishes.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Ida_Davidsen_udsnit_af_glasmontren.JPG/250px-Ida_Davidsen_udsnit_af_glasmontren.JPG,,"KZ:{},//Kazakhstan"
41,"Northern Europe",DK,Denmark,Floskesteg,"Floskesteg is a traditional Danish dish. A pork roast was carved by the ham, but now most often by the neck or back of a pig : pork and ribs from the middle and neck comb from the front.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flaeskesteg_med_svaer.jpg/220px-Flaeskesteg_med_svaer.jpg,,"TH: {}, //Thailand"
42,"Northern Europe",DK,Denmark,"Hvid Labskovs","Hvid Labskovsis a term for cooked or fried meat (or fish), cut into cubes, browned with onions, topped with soup and cooked with shredded (or mashed) potatoes and spices.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Labskaus.jpg/220px-Labskaus.jpg,,"VN: {}, //Vietnam"
43,"Northern Europe",SE,Sweden,crispbread,"Cripsbread is a flat and dry type of cracker, containing mostly rye flour. Crispbreads are light and keep fresh for a very long time. Crispbread is a staple food and was for a long time considered a poor man's diet.[3] However, in recent years there has been renewed interest in crispbread in the Nordic countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Knaeckebroed.jpg/375px-Knaeckebroed.jpg,,"PH: {}, //Philippines"
44,"Northern Europe",SE,Sweden,surstromming,"Surstromming is a lightly-salted fermented Baltic Sea herring traditional to Swedish cuisine since at least the 16th century. The Baltic herring, known as stromming in Swedish, is smaller than the Atlantic herring, found in the North Sea. Traditionally, the definition of stromming is "herring fished in the brackish waters of the Baltic north of the Kalmar Strait". The herring used for surstromming are caught just prior to spawning in April and May. During the production of surströmming, just enough salt is used to prevent the raw herring from rotting while allowing it to ferment. A fermentation process of at least six months gives the fish its characteristic strong smell and somewhat acidic taste. According to a Japanese study, a newly opened can of surstromming has one of the most putrid food smells in the world, even stronger than similarly fermented fish dishes such as the Korean hongeohoe or Japanese kusaya. At the end of the 1940s, surstromming producers in Sweden lobbied for a royal ordinance (Swedish: forordning) that would prevent incompletely fermented fish from being sold. The decree that was issued forbade sales of the current year's production in Sweden prior to the third Thursday in August. While the ordinance is no longer on the books, retailers still maintain the date for the "premiere" of that year's catch.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Surstr%C3%B6mming.jpg/330px-Surstr%C3%B6mming.jpg,,"MY: {}, //Malaysia"
